,dataset,sample,NAT_source,ref_source,WGA_source,priority,run,barcode,assembly_contigs,assembly_coverage,ONT_reads,tax_id,scientific_name,lineage,lineage_save
1067,sepsis,K-M0574,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01126_Min106_RBK110/1152_19_2/20220923_1110_X2_FAU08279_1e20ec83/fast5_pass/barcode60,cebitec:/prj/kinbiotics-seq/samples/K-M0574/medaka/consensus.fasta,,2,Run01126_Min106_RBK110,60,16.0,26.0,118300,818,Bacteroides thetaiotaomicron,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
1038,sepsis,K-M0545,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01125_Min106_RBK110/1152_19/20220923_1108_X1_FAU02946_1085f905/fast5_pass/barcode31,cebitec:/prj/kinbiotics-seq/samples/K-M0545/medaka/consensus.fasta,,2,Run01125_Min106_RBK110,31,5.0,12.0,19307,299767,Enterobacter ludwigii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
1344,sepsis,K-M0854,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode53,cebitec:/prj/kinbiotics-seq/samples/K-M0854/medaka/consensus.fasta,,2,Run01151_Min106_RBK110,53,19.0,44.0,172969,817,Bacteroides fragilis,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
1347,sepsis,K-M0857,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode56,cebitec:/prj/kinbiotics-seq/samples/K-M0857/medaka/consensus.fasta,,2,Run01151_Min106_RBK110,56,2.0,41.0,121182,817,Bacteroides fragilis,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
1348,sepsis,K-E0248,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01151_Min106_RBK110/1152_22_2/20221108_1704_X2_FAU82343_35063281/fast5_pass/barcode57,cebitec:/prj/kinbiotics-seq/samples/K-E0248/medaka/consensus.fasta,,2,Run01151_Min106_RBK110,57,8.0,41.0,80194,818,Bacteroides thetaiotaomicron,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Bacteroides
364,sepsis,K-M0043,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00984_Min106_RBK110/1152_Kinbiotics_0005/20220408_0758_X3_FAS48244_6cef4517/fast5_pass/barcode11,cebitec:/prj/kinbiotics-seq/samples/K-M0043/medaka/consensus.fasta,,2,Run00984_Min106_RBK110,11,4.0,28.0,74645,571,Klebsiella oxytoca,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
366,sepsis,K-M0045,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00984_Min106_RBK110/1152_Kinbiotics_0005/20220408_0758_X3_FAS48244_6cef4517/fast5_pass/barcode13,cebitec:/prj/kinbiotics-seq/samples/K-M0045/medaka/consensus.fasta,,2,Run00984_Min106_RBK110,13,1.0,19.0,50843,546,Citrobacter freundii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex
386,sepsis,K-M0065,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00985_Min106_RBK110/1152_Kinbiotics_0005/20220408_0800_X4_FAS99026_b3a3385b/fast5_pass/barcode33,cebitec:/prj/kinbiotics-seq/samples/K-M0065/medaka/consensus.fasta,,2,Run00985_Min106_RBK110,33,2.0,36.0,77625,28901,Salmonella enterica,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
390,sepsis,K-M0069,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00985_Min106_RBK110/1152_Kinbiotics_0005/20220408_0800_X4_FAS99026_b3a3385b/fast5_pass/barcode37,cebitec:/prj/kinbiotics-seq/samples/K-M0069/medaka/consensus.fasta,,2,Run00985_Min106_RBK110,37,1.0,62.0,96096,582,Morganella morganii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Morganella
331,sepsis,K-E0017,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00978_Min106_RBK110/1152_Kinbiotics0004_3/20220405_1311_X3_FAS48142_844a5357/fast5_pass/barcode63,cebitec:/prj/kinbiotics-seq/samples/K-E0017/medaka/consensus.fasta,,2,Run00978_Min106_RBK110,63,3.0,109.0,165863,1280,Staphylococcus aureus,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
333,sepsis,K-E0019,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00978_Min106_RBK110/1152_Kinbiotics0004_3/20220405_1311_X3_FAS48142_844a5357/fast5_pass/barcode65,cebitec:/prj/kinbiotics-seq/samples/K-E0019/medaka/consensus.fasta,,2,Run00978_Min106_RBK110,65,3.0,55.0,89183,244366,Klebsiella variicola,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
338,sepsis,K-E0024,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00978_Min106_RBK110/1152_Kinbiotics0004_3/20220405_1311_X3_FAS48142_844a5357/fast5_pass/barcode70,cebitec:/prj/kinbiotics-seq/samples/K-E0024/medaka/consensus.fasta,,2,Run00978_Min106_RBK110,70,1.0,74.0,117124,158836,Enterobacter hormaechei,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
211,sepsis,K-M0023,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00959_Min106_RBK110/1152_Kinbiotics_0003/20220322_1340_X1_FAS98979_d69259a4/fast5_pass/barcode23,cebitec:/prj/kinbiotics-seq/samples/K-M0023/medaka/consensus.fasta,,2,Run00959_Min106_RBK110,23,1.0,33.0,111100,630,Yersinia enterocolitica,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Yersinia
228,sepsis,K-L0122,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00960_Min106_RBK110/1152_Kinbiotics_0003_2/20220322_1349_X2_FAT00628_1eae7b7a/fast5_pass/barcode40,cebitec:/prj/kinbiotics-seq/samples/K-L0122/medaka/consensus.fasta,,2,Run00960_Min106_RBK110,40,4.0,34.0,39685,28901,Salmonella enterica,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella
184,sepsis,K-L0054,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00918_MIN106_RBK110/1152_Kinbiotics_0002_2/20220225_1353_X2_FAS99156_ab760bb6/fast5_pass/barcode49,cebitec:/prj/kinbiotics-seq/samples/K-L0054/medaka/consensus.fasta,,2,Run00918_MIN106_RBK110,49,7.0,56.0,75319,244366,Klebsiella variicola,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
169,sepsis,K-L0039,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00918_MIN106_RBK110/1152_Kinbiotics_0002_2/20220225_1353_X2_FAS99156_ab760bb6/fast5_pass/barcode34,cebitec:/prj/kinbiotics-seq/samples/K-L0039/medaka/consensus.fasta,,2,Run00918_MIN106_RBK110,34,1.0,175.0,170426,584,Proteus mirabilis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus
170,sepsis,K-L0040,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00918_MIN106_RBK110/1152_Kinbiotics_0002_2/20220225_1353_X2_FAS99156_ab760bb6/fast5_pass/barcode35,cebitec:/prj/kinbiotics-seq/samples/K-L0040/medaka/consensus.fasta,,2,Run00918_MIN106_RBK110,35,7.0,179.0,159583,584,Proteus mirabilis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus
735,sepsis,K-M0275,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01108_Min106_RBK96/no_sample/20220826_1630_X2_FAT89724_df286022/fast5_pass/barcode16,cebitec:/prj/kinbiotics-seq/samples/K-M0275/medaka/consensus.fasta,,2,Run01108_Min106_RBK96,16,48.0,16.0,44840,1134687,Klebsiella michiganensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
693,sepsis,K-M0233,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01072_Min106_RBK110/1152_0013/20220706_1519_X5_FAT83819_30c15b50/fast5_pass/barcode70,cebitec:/prj/kinbiotics-seq/samples/K-M0233/medaka/consensus.fasta,,2,Run01072_Min106_RBK110,70,1.0,87.0,106290,1311,Streptococcus agalactiae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
710,sepsis,K-M0250,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01072_Min106_RBK110/1152_0013/20220706_1519_X5_FAT83819_30c15b50/fast5_pass/barcode87,cebitec:/prj/kinbiotics-seq/samples/K-M0250/medaka/consensus.fasta,,2,Run01072_Min106_RBK110,87,1.0,40.0,53327,1314,Streptococcus pyogenes,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
655,sepsis,K-M0195,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01070_Min106_RBK110/1152_0013/20220706_1515_X2_FAT83836_df40acfe/fast5_pass/barcode32,cebitec:/prj/kinbiotics-seq/samples/K-M0195/medaka/consensus.fasta,,2,Run01070_Min106_RBK110,32,29.0,19.0,36430,357441,Enterococcus lactis,Bacteria; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Enterococcaceae; Enterococcus
617,sepsis,K-L0230,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01051_Min106_RBK110/1152_0012_3/20220616_1342_X3_FAS60697_53770791/fast5_pass/barcode81,cebitec:/prj/kinbiotics-seq/samples/K-L0230/medaka/consensus.fasta,,2,Run01051_Min106_RBK110,81,2.0,76.0,83040,158836,Enterobacter hormaechei,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Enterobacter; Enterobacter cloacae complex
263,sepsis,K-L0157,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00961_Min106_RBK110/1152_Kinbiotics_0003_3/20220322_1350_X3_FAS98735_c94c9bd9/fast5_pass/barcode75,cebitec:/prj/kinbiotics-seq/samples/K-L0157/medaka/consensus.fasta,,2,Run00961_Min106_RBK110,75,10.0,12.0,15088,2058152,Klebsiella grimontii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
555,sepsis,K-E0152,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01049_Min106_RBK110/1152_0012/20220616_1337_X1_FAS36837_4bdf68e0/fast5_pass/barcode20,cebitec:/prj/kinbiotics-seq/samples/K-E0152/medaka/consensus.fasta,,2,Run01049_Min106_RBK110,20,2.0,46.0,196302,1313,Streptococcus pneumoniae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
293,sepsis,K-L0187,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00976_Min106_RBK110/1152_Kinbiotics0004_1/20220405_1307_X1_FAS51501_5fa11c83/fast5_pass/barcode23,cebitec:/prj/kinbiotics-seq/samples/K-L0187/medaka/consensus.fasta,,2,Run00976_Min106_RBK110,23,2.0,20.0,33357,1134687,Klebsiella michiganensis,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
185,sepsis,K-L0055,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00918_MIN106_RBK110/1152_Kinbiotics_0002_2/20220225_1353_X2_FAS99156_ab760bb6/fast5_pass/barcode50,cebitec:/prj/kinbiotics-seq/samples/K-L0055/medaka/consensus.fasta,,2,Run00918_MIN106_RBK110,50,2.0,151.0,166840,573,Klebsiella pneumoniae,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
137,sepsis,K-L0007,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00917_MIN106_RBK110/1152_Kinbiotics_0002_1/20220225_1352_X1_FAS98466_10e821be/fast5_pass/barcode02,cebitec:/prj/kinbiotics-seq/samples/K-L0007/medaka/consensus.fasta,,2,Run00917_MIN106_RBK110,02,2.0,80.0,151444,615,Serratia marcescens,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
143,sepsis,K-L0013,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00917_MIN106_RBK110/1152_Kinbiotics_0002_1/20220225_1352_X1_FAS98466_10e821be/fast5_pass/barcode08,cebitec:/prj/kinbiotics-seq/samples/K-L0013/medaka/consensus.fasta,,2,Run00917_MIN106_RBK110,08,2.0,164.0,284733,562,Escherichia coli,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia
851,sepsis,K-M0356,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01117_Min106_RBK110/1152_16_2/20220913_1600_X2_FAU08280_7f5e9413/fast5_pass/barcode36,cebitec:/prj/kinbiotics-seq/samples/K-M0356/medaka/consensus.fasta,,2,Run01117_Min106_RBK110,36,59.0,13.0,39168,546,Citrobacter freundii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter; Citrobacter freundii complex
855,sepsis,K-M0361,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01117_Min106_RBK110/1152_16_2/20220913_1600_X2_FAU08280_7f5e9413/fast5_pass/barcode40,cebitec:/prj/kinbiotics-seq/samples/K-M0361/medaka/consensus.fasta,,2,Run01117_Min106_RBK110,40,2.0,66.0,83546,1334,Streptococcus dysgalactiae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus; Streptococcus dysgalactiae group
858,sepsis,K-M0364,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01117_Min106_RBK110/1152_16_2/20220913_1600_X2_FAU08280_7f5e9413/fast5_pass/barcode43,cebitec:/prj/kinbiotics-seq/samples/K-M0364/medaka/consensus.fasta,,2,Run01117_Min106_RBK110,43,5.0,42.0,55672,1314,Streptococcus pyogenes,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
782,sepsis,K-E0210,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01109_Min106_RBK96/1152_14_2/20220826_1632_X4_FAU08234_f5215fc2/fast5_pass/barcode63,cebitec:/prj/kinbiotics-seq/samples/K-E0210/medaka/consensus.fasta,,2,Run01109_Min106_RBK96,63,1.0,61.0,100726,545,Citrobacter koseri,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Citrobacter
803,sepsis,K-E0234,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01110_Min106_RBK96/1152_14_3/20220826_1634_X5_FAU08233_54be0c90/fast5_pass/barcode84,cebitec:/prj/kinbiotics-seq/samples/K-E0234/medaka/consensus.fasta,,2,Run01110_Min106_RBK96,84,3.0,32.0,37252,571,Klebsiella oxytoca,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
765,sepsis,K-M0305,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01109_Min106_RBK96/1152_14_2/20220826_1632_X4_FAU08234_f5215fc2/fast5_pass/barcode46,cebitec:/prj/kinbiotics-seq/samples/K-M0305/medaka/consensus.fasta,,2,Run01109_Min106_RBK96,46,41.0,13.0,31142,511,Alcaligenes faecalis,Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Alcaligenes,cellular organisms; Bacteria; Pseudomonadota; Betaproteobacteria; Burkholderiales; Alcaligenaceae; Alcaligenes
766,sepsis,K-M0306,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01109_Min106_RBK96/1152_14_2/20220826_1632_X4_FAU08234_f5215fc2/fast5_pass/barcode47,cebitec:/prj/kinbiotics-seq/samples/K-M0306/medaka/consensus.fasta,,2,Run01109_Min106_RBK96,47,3.0,26.0,58098,588,Providencia stuartii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Providencia
720,sepsis,K-M0260,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01108_Min106_RBK96/no_sample/20220826_1630_X2_FAT89724_df286022/fast5_pass/barcode01,cebitec:/prj/kinbiotics-seq/samples/K-M0260/medaka/consensus.fasta,,2,Run01108_Min106_RBK96,01,2.0,37.0,41477,615,Serratia marcescens,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Yersiniaceae; Serratia
1044,sepsis,K-M0551,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01126_Min106_RBK110/1152_19_2/20220923_1110_X2_FAU08279_1e20ec83/fast5_pass/barcode37,cebitec:/prj/kinbiotics-seq/samples/K-M0551/medaka/consensus.fasta,,2,Run01126_Min106_RBK110,37,23.0,29.0,104028,821,Phocaeicola vulgatus,Bacteria; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola,cellular organisms; Bacteria; FCB group; Bacteroidota/Chlorobiota group; Bacteroidota; Bacteroidia; Bacteroidales; Bacteroidaceae; Phocaeicola
1049,sepsis,K-M0556,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01126_Min106_RBK110/1152_19_2/20220923_1110_X2_FAU08279_1e20ec83/fast5_pass/barcode42,cebitec:/prj/kinbiotics-seq/samples/K-M0556/medaka/consensus.fasta,,2,Run01126_Min106_RBK110,42,1.0,20.0,24131,747,Pasteurella multocida,Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella
976,sepsis,K-M0483,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01124_Min106_RBK110/1152_18_3/20220923_1057_X3_FAT89669_f7562649/fast5_pass/barcode65,cebitec:/prj/kinbiotics-seq/samples/K-M0483/medaka/consensus.fasta,,2,Run01124_Min106_RBK110,65,218.0,9.0,14342,1502,Clostridium perfringens,Bacteria; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Clostridia; Eubacteriales; Clostridiaceae; Clostridium
992,sepsis,K-M0499,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01124_Min106_RBK110/1152_18_3/20220923_1057_X3_FAT89669_f7562649/fast5_pass/barcode81,cebitec:/prj/kinbiotics-seq/samples/K-M0499/medaka/consensus.fasta,,2,Run01124_Min106_RBK110,81,102.0,5.0,8193,470,Acinetobacter baumannii,Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Moraxellales; Moraxellaceae; Acinetobacter; Acinetobacter calcoaceticus/baumannii complex
952,sepsis,K-M0459,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01123_Min106_RBK110/1152_18_2/20220923_1055_X2_FAT89600_34804ccc/fast5_pass/barcode41,cebitec:/prj/kinbiotics-seq/samples/K-M0459/medaka/consensus.fasta,,2,Run01123_Min106_RBK110,41,1.0,71.0,63084,1311,Streptococcus agalactiae,Bacteria; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Lactobacillales; Streptococcaceae; Streptococcus
925,sepsis,K-M0432,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01122_Min106_RBK110/1152_18/20220923_1054_X1_FAT89651_31d9e33d/fast5_pass/barcode14,cebitec:/prj/kinbiotics-seq/samples/K-M0432/medaka/consensus.fasta,,2,Run01122_Min106_RBK110,14,1.0,20.0,31876,2058152,Klebsiella grimontii,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
79,sepsis,K-L0060,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run00915_MIN106_LSK109/1152_Kinbiotics_0002_3/20220225_1650_X1_FAS98583_77f72642/fast5_pass/barcode73,cebitec:/prj/kinbiotics-seq/samples/K-L0060/medaka/consensus.fasta,,2,Run00915_MIN106_LSK109,73,5.0,121.0,114853,573,Klebsiella pneumoniae,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
1191,sepsis,K-M0698,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01143_Min106_RBK110/1152_20_3/20221020_1625_X3_FAU82573_cc661459/fast5_pass/barcode88,cebitec:/prj/kinbiotics-seq/samples/K-M0698/medaka/consensus.fasta,,2,Run01143_Min106_RBK110,88,2.0,31.0,46165,1282,Staphylococcus epidermidis,Bacteria; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus,cellular organisms; Bacteria; Terrabacteria group; Bacillota; Bacilli; Bacillales; Staphylococcaceae; Staphylococcus
1140,sepsis,K-M0647,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01142_Min106_RBK110/1152_20_2/20221020_1624_X2_FAU83126_687cb5e9/fast5_pass/barcode37,cebitec:/prj/kinbiotics-seq/samples/K-M0647/medaka/consensus.fasta,,2,Run01142_Min106_RBK110,37,2.0,27.0,33793,747,Pasteurella multocida,Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Pasteurellales; Pasteurellaceae; Pasteurella
1231,sepsis,K-M0741,cebitec:/prj/kinbiotics-seq/runs/nanopore/Run01148_Min106_RBK110/1152_21_2/20221103_1723_X2_FAS69564_81777816/fast5_pass/barcode34,cebitec:/prj/kinbiotics-seq/samples/K-M0741/medaka/consensus.fasta,,2,Run01148_Min106_RBK110,34,2.0,41.0,75881,548,Klebsiella aerogenes,Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella,cellular organisms; Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Klebsiella/Raoultella group; Klebsiella
